name,state
Abegondo,A Coruña
Ames,A Coruña
Aranga,A Coruña
Ares,A Coruña
Arteixo,A Coruña
Arzúa,A Coruña
"Baña, A",A Coruña
Bergondo,A Coruña
Betanzos,A Coruña
Boimorto,A Coruña
Boiro,A Coruña
Boqueixón,A Coruña
Brión,A Coruña
Cabana de Bergantiños,A Coruña
Cabanas,A Coruña
Camariñas,A Coruña
Cambre,A Coruña
"Capela, A",A Coruña
Carballo,A Coruña
Cariño,A Coruña
Carnota,A Coruña
Carral,A Coruña
Cedeira,A Coruña
Cee,A Coruña
Cerceda,A Coruña
Cerdido,A Coruña
Cesuras,A Coruña
Coirós,A Coruña
Corcubión,A Coruña
Coristanco,A Coruña
"Coruña, A",A Coruña
Culleredo,A Coruña
Curtis,A Coruña
Dodro,A Coruña
Dumbría,A Coruña
Fene,A Coruña
Ferrol,A Coruña
Fisterra,A Coruña
Frades,A Coruña
Irixoa,A Coruña
"Laracha, A",A Coruña
Laxe,A Coruña
Lousame,A Coruña
Malpica de Bergantiños,A Coruña
Mañón,A Coruña
Mazaricos,A Coruña
Melide,A Coruña
Mesía,A Coruña
Miño,A Coruña
Moeche,A Coruña
Monfero,A Coruña
Mugardos,A Coruña
Muros,A Coruña
Muxía,A Coruña
Narón,A Coruña
Neda,A Coruña
Negreira,A Coruña
Noia,A Coruña
Oleiros,A Coruña
Ordes,A Coruña
Oroso,A Coruña
Ortigueira,A Coruña
Outes,A Coruña
Oza dos Ríos,A Coruña
Paderne,A Coruña
Padrón,A Coruña
"Pino, O",A Coruña
"Pobra do Caramiñal, A",A Coruña
Ponteceso,A Coruña
Pontedeume,A Coruña
"Pontes de García Rodríguez, As",A Coruña
Porto do Son,A Coruña
Rianxo,A Coruña
Ribeira,A Coruña
Rois,A Coruña
Sada,A Coruña
San Sadurniño,A Coruña
Santa Comba,A Coruña
Santiago de Compostela,A Coruña
Santiso,A Coruña
Sobrado,A Coruña
"Somozas, As",A Coruña
Teo,A Coruña
Toques,A Coruña
Tordoia,A Coruña
Touro,A Coruña
Trazo,A Coruña
Val do Dubra,A Coruña
Valdoviño,A Coruña
Vedra,A Coruña
Vilarmaior,A Coruña
Vilasantar,A Coruña
Vimianzo,A Coruña
Zas,A Coruña
Alegría-Dulantzi,Álava
Amurrio,Álava
Añana,Álava
Aramaio,Álava
Armiñón,Álava
Arraia-Maeztu,Álava
Arrazua-Ubarrundia,Álava
Artziniega,Álava
Asparrena,Álava
Ayala/Aiara,Álava
Baños de Ebro/Mañueta,Álava
Barrundia,Álava
Berantevilla,Álava
Bernedo,Álava
Campezo/Kanpezu,Álava
Elburgo/Burgelu,Álava
Elciego,Álava
Elvillar/Bilar,Álava
Erriberagoitia/Ribera Alta,Álava
Harana/Valle de Arana,Álava
Iruña Oka/Iruña de Oca,Álava
Iruraiz-Gauna,Álava
Kripan,Álava
Kuartango,Álava
Labastida/Bastida,Álava
Lagrán,Álava
Laguardia,Álava
Lanciego/Lantziego,Álava
Lantarón,Álava
Lapuebla de Labarca,Álava
Laudio/Llodio,Álava
Legutio,Álava
Leza,Álava
Moreda de Álava,Álava
Navaridas,Álava
Okondo,Álava
Oyón-Oion,Álava
Peñacerrada-Urizaharra,Álava
Ribera Baja/Erribera Beitia,Álava
Salvatierra/Agurain,Álava
Samaniego,Álava
San Millán/Donemiliaga,Álava
Urkabustaiz,Álava
Valdegovía/Gaubea,Álava
