name,genre
" ""Knife"" Sotelo ",Gangsta Rap
" ""Weird Al"" Yankovic ",Novelty
 AKX FIFTH 100 ,Gangsta Rap
 (hed) p.e. ,
 (MoorE) ,Hip-Hop/Rap
 NSync ,Pop
 ...And You Will Know Us by the Trail of Dead ,Indie Rock
 .38 Special ,Classic Rock
 1 Girl Nation ,Christian Pop
 10 Years ,Rock
 101 Strings Orchestra ,Easy Listening/Vocal
 10cc ,Rock
 116 Clique ,Inspirational
 12 Stones ,Hard Rock
 150BPM ,
 187 Lockdown ,
 1980s ,
 2 Black 2 Strong MMG ,Hip-Hop
 2 Chainz ,Hip-Hop/Rap
 2 Pistols ,Hip-Hop
 24 Hours ,
 247 Spyz ,Metal
 2Cellos ,Rock
 2gether ,Pop
 2NE1 ,Hip-Hop/Rap
 2Pac ,Gangsta Rap
 3 Doors Down ,Rock
 3 Vampiros ,
 3BallMTY ,House
 3eme Sexe ,Electronic
 3kStatic ,Electronic
 3LW ,R&B/Soul
 3MP ,
 3OH3 ,Alternative
 3T ,Soul
 4Him ,Inspirational
 4Pound ,
 4th Amendment ,
 5 Chinese Brothers ,Blues/Folk
 5 Seconds Of Summer ,Pop/Rock
 50 Cent ,Hip-Hop/Rap
 5UP ,Hip-Hop/Rap
 6CycleMind ,
 7 Day Ride ,
 7 Shot Screamers ,Rock
 8mm ,Rock
 9 Ball ,
 9 To 5 Hustle ,
 98 Degrees ,Traditional Pop
 99 Posse ,Rock
 9th Wonder ,Hip-Hop
 A Band Called Horse ,
 A Country Sound ,
 A Day to Remember ,Rock & Roll
 A Fine Frenzy ,Rock
 A Flock of Seagulls ,Rock
 A Friend In London  ,Pop
 A Great Big World ,Pop
 A Loss For Words ,
 A Rocket to the Moon ,Rock
 A Small Good Thing ,
 A Staggering Genius ,
 A Thousand Horses ,Southern Rock
 AAP Ferg ,Rap
 AAP Rocky ,Hip-Hop/Rap
 AM ,
 A.B. Quintanilla III ,Latin
 A.J. Ventura ,Pop
 A.K.A.'s ,
 A.R. Rahman ,World/Reggae
 Aaliyah ,R&B/Soul
 Aaron  Amanda Crabb ,Country Gospel
 Aaron Bing ,
 Aaron Carter ,Pop
 Aaron English ,Prog-Rock/Art Rock
 Aaron Lewis ,Contemporary Country
 Aaron McCune ,
 Aaron McDaris ,
 Aaron Morales ,Rock
 Aaron Neville ,R&B/Soul
 Aaron Skyy ,R&B/Soul
 Aaron Tippin ,Country Blues
 Aaron Watson ,Country
 Akn Nur Yengi ,
 ABA Structure ,
 Abalone Dots ,Logo Celebs
 ABBA ,Pop
 ABC ,New Wave
 Abdallah Belkhair ,
 Abde ,
 Abdu Kiyar ,
 Abe Battat ,
 Abel Sanchez ,
 Abhijeet Sawant ,
" Abhishek Bachchan,John Abraham,Priyanka Chopra ",
 Abida Parveen ,Easy Listening/Vocal
 Abie Rotenberg ,
 Abigail Doyle ,
 Ablaye Cissoko  Volker Goetze ,Africa
 Aboud Abdel Al ,
 Above  Beyond ,Dance
 Above the Law ,Hip-Hop/Rap
 AbSoul ,Hip-Hop/Rap
 Abstract Future ,Electronic
 AC Da' Perfecto ,Hip-Hop/Rap
 ACDC ,Rock
 Ace Cannon ,Classic Rock
 Ace Frehley ,Classic Rock
 Ace Hood ,Hip-Hop/Rap
 Ace of Base ,Pop
 Acelya ,Pop
 Acie Cargill ,
 Acoustic Sound Orchestra ,
 Act As If ,Alternative
 Action Bronson ,Rap
 Action Item ,Pop
 Activate ,
 Active Radio ,
 Ad Hominem ,
 ADA Band ,World/Reggae
 Adair ,Rock
 Adam Aijala ,
 Adam Barta ,Pop/Rock
 Adam Basma ,
 Adam Bayer ,
 Adam Crabb ,
 Adam Craig ,
 Adam Elmakias ,
 Adam Fears ,Alternative Country
 Adam Green ,Rock
 Adam Hood ,Country Blues
 Adam Lambert ,Pop
 Adam Levine ,Alternative
 Adam Sandler ,Rock
 Adan Chalino Sanchez ,Latin
 Adassa ,Latino
 Adele ,Pop
 Adele Harley ,
 Adele Holness ,
 Adelhard Roidinger ,
 Adelle ,
 Adema ,Rock
