name,country
A Coruña,España
Álava,España
Albacete,España
Alicante,España
Almería,España
Asturias,España
Ávila,España
Badajoz,España
Barcelona,España
Burgos,España
Cáceres,España
Cádiz,España
Cantabria,España
Castellón,España
Ceuta,España
Ciudad Real,España
Córdoba,España
Cuenca,España
Gipuzkoa,España
Girona,España
Granada,España
Guadalajara,España
Huelva,España
Huesca,España
Islas Baleares,España
Jaén,España
La Rioja,España
Las Palmas,España
León,España
Lleida,España
Lugo,España
Madrid,España
Málaga,España
Melilla,España
Murcia,España
Navarra,España
Ourense,España
Palencia,España
Pontevedra,España
Salamanca,España
Segovia,España
Sevilla,España
Soria,España
Sta. Cruz de Tenerife,España
Tarragona,España
Teruel,España
Toledo,España
Valencia,España
Valladolid,España
Vizcaya,España
Zamora,España
Zaragoza,España
