city;state
Ababuj;Teruel
Abades;Segovia
Abadía;Cáceres
Abadín;Lugo
Abadiño;Vizcaya
Abáigar;Navarra
Abajas;Burgos
Ábalos;La Rioja
Abaltzisketa;Gipuzkoa
Abánades;Guadalajara
Abanilla;Murcia
Abanto;Zaragoza
Abanto y Ciérvana-Abanto Zierbena;Vizcaya
Abarán;Murcia
Abarca de Campos;Palencia
Abárzuza;Navarra
Abaurregaina/Abaurrea Alta;Navarra
Abaurrepea/Abaurrea Baja;Navarra
Abegondo;A Coruña
Abejar;Soria
Abejuela;Teruel
Abella de la Conca;Lleida
Abengibre;Albacete
Abenójar;Ciudad Real
Aberin;Navarra
Abertura;Cáceres
Abezames;Zamora
Abia de la Obispalía;Cuenca
Abia de las Torres;Palencia
Abiego;Huesca
Abizanda;Huesca
Abla;Almería
Ablanque;Guadalajara
Ablitas;Navarra
Abrera;Barcelona
Abrucena;Almería
Abusejo;Salamanca
Acebeda, La;Madrid
Acebedo;León
Acebo;Cáceres
Acebrón, El;Cuenca
Acedera;Badajoz
Acehúche;Cáceres
Aceituna;Cáceres
Acered;Zaragoza
Aceuchal;Badajoz
Adahuesca;Huesca
Adalia;Valladolid
Adamuz;Córdoba
Adanero;Ávila
Adeje;Sta. Cruz de Tenerife
Ademuz;Valencia
Adiós;Navarra
Adobes;Guadalajara
Ador;Valencia
Adra;Almería
Adrada de Haza;Burgos
Adrada de Pirón;Segovia
Adrada, La;Ávila
Adradas;Soria
Adrados;Segovia
Adsubia;Alicante
Aduna;Gipuzkoa
Agaete;Las Palmas
Agallas;Salamanca
Àger;Lleida
Agolada;Pontevedra
Agón;Zaragoza
Agoncillo;La Rioja
Agost;Alicante
Agramunt;Lleida
Ágreda;Soria
Agres;Alicante
Agrón;Granada
Aguadulce;Sevilla
Aguarón;Zaragoza
Aguas Cándidas;Burgos
Aguasal;Valladolid
Aguatón;Teruel
Aguaviva;Teruel
Agudo;Ciudad Real
Agüero;Huesca
Aguilafuente;Segovia
Aguilar de Bureba;Burgos
Aguilar de Campoo;Palencia
Aguilar de Campos;Valladolid
Aguilar de Codés;Navarra
Aguilar de la Frontera;Córdoba
Aguilar de Segarra;Barcelona
Aguilar del Alfambra;Teruel
Aguilar del Río Alhama;La Rioja
Águilas;Murcia
Aguilón;Zaragoza
Agüimes;Las Palmas
Agullana;Girona
Agullent;Valencia
Agulo;Sta. Cruz de Tenerife
Ahigal;Cáceres
Ahigal de los Aceiteros;Salamanca
Ahigal de Villarino;Salamanca
Ahillones;Badajoz
Aia;Gipuzkoa
Aibar/Oibar;Navarra
Aielo de Malferit;Valencia
Aielo de Rugat;Valencia
Aiguafreda;Barcelona
Aiguamúrcia;Tarragona
Aiguaviva;Girona
Aigües;Alicante
Aín;Castellón
Aínsa-Sobrarbe;Huesca
Ainzón;Zaragoza
Aisa;Huesca
Aitona;Lleida
Aizarnazabal;Gipuzkoa
Ajalvir;Madrid
Ajamil de Cameros;La Rioja
Ajangiz;Vizcaya
Ajofrín;Toledo
Alacón;Teruel
Aladrén;Zaragoza
Alaejos;Valladolid
Alagón;Zaragoza
